timestep simtime Ttrans Trot
3790 3.7900000000000006124e-12 2987.4061832988800234 1043.7907537097250952
3800 3.799999999999999964e-12 2987.4122875649300113 1043.8973940728649268
3810 3.8100000000000001233e-12 2987.0841265065600965 1043.8047276341369525
3820 3.8200000000000002826e-12 2987.5718529880400638 1043.6943031771029382
3830 3.830000000000000442e-12 2987.5446121013201264 1043.9376644027399834
3840 3.8400000000000006013e-12 2987.207338297700062 1043.9063735229296981
3850 3.8499999999999999529e-12 2987.1908604272998673 1044.2708909588013739
3860 3.8600000000000001122e-12 2987.1302381332097866 1044.4810253249156631
3870 3.8700000000000002715e-12 2987.1542658702401241 1044.5009728181212267
3880 3.8800000000000004309e-12 2987.0715712411001732 1044.4463731360688143
3890 3.8900000000000005902e-12 2986.9666323647102217 1044.5762167111174676
3900 3.8999999999999999418e-12 2986.7617002935598975 1044.7015017648245703
3910 3.9100000000000001011e-12 2986.6393178654598159 1045.0756774372014206
3920 3.9200000000000002604e-12 2986.3846622974901948 1045.1727027713204734
